"Compagnie des Alpes","Cashback Compagnie des Alpes",1515,"http://tracking.publicidees.com/clic.php?promoid=38306&progid=1515&partid=29897&cb={userid}","2,5%","2.5% par achat
4,00 € sur Vente Séjour Futuroscope
2,00 € sur Vente Billet Futuroscope","merc39",1,2
"Hostelbookers","Cashback Hostelbookers",1274,"http://tracking.publicidees.com/clic.php?promoid=30769&progid=1274&partid=29897&cb={userid}","2,00%","2% par achat","merc40",1,2
"RENTACAR","Cashback RENTACAR",544,"http://tracking.publicidees.com/clic.php?promoid=26066&progid=544&partid=29897&cb={userid}","3,00%","3% par achat","merc41",1,3
"SexyAvenue","Cashback SexyAvenue",546,"http://tracking.publicidees.com/clic.php?promoid=9667&progid=546&partid=29897&cb={userid}","10,00%","10% par achat","merc42",1,10
"HAVAS VOYAGES","Cashback HAVAS VOYAGES",2230,"http://tracking.publicidees.com/clic.php?promoid=63541&progid=2230&partid=29897&cb={userid}","2,00%","2,25 % sur Vente Séjours & Circuits, l'hotel
2,00 % sur vol + l'hotel
4,00 € sur vol","merc43",1,2
"LAVINIA","Cashback LAVINIA",1976,"http://tracking.publicidees.com/clic.php?promoid=49388&progid=1976&partid=29897&cb={userid}","Jusqu'à 5%","5% sur Vente Classique
1.5% sur Vente Primeur","merc44",1,5
"Pierre & Vacances","Cashback Pierre & Vacances",1730,"http://tracking.publicidees.com/clic.php?promoid=42367&progid=1730&partid=29897&cb={userid}","Jusqu'à 17,50€","Vente Pierre et Vacances : 17,5€ / achat
Vente Premium : 17,5€ / achat
Vente Villages Clubs : 17,5€ / achat
Vente Maeva : 17,5€ / achat
Vente Adagio : 3.25% par achat","merc45",0,17
"Charmandising","Cashback Charmandising",1543,"http://tracking.publicidees.com/clic.php?promoid=38959&progid=1543&partid=29897&cb={userid}","2,00€","2,00€ par achat","merc46",0,2
"Trefle.com","Cashback Trefle.com",2169,"http://tracking.publicidees.com/clic.php?promoid=55652&progid=2169&partid=29897&cb={userid}","7,5%","7.5% par Souscription option premium","merc47",1,7
"Lightinthebox","Cashback Lightinthebox",1981,"http://tracking.publicidees.com/clic.php?promoid=54332&progid=1981&partid=29897&cb={userid}","4%","4% par achat","merc48",1,4
"Bleu Bonheur","Cashback Bleu Bonheur",637,"http://tracking.publicidees.com/clic.php?promoid=12397&progid=637&partid=29897&cb={userid}","3%","3% par achat","merc49",1,3
"VVF Villages","Cashback VVF Villages",1094,"http://tracking.publicidees.com/clic.php?promoid=40785&progid=1094&partid=29897&cb={userid}","2.5%","2.5% par achat","merc50",1,2
"BazarChic","Cashback BazarChic",1375,"http://tracking.publicidees.com/clic.php?promoid=32170&progid=1375&partid=29897&cb={userid}","2.5%","2.5% par achat","merc51",1,2
"Holiday Cars","Cashback Holiday Cars",2329,"http://tracking.publicidees.com/clic.php?promoid=60378&progid=2329&partid=29897&cb={userid}","3.5%","3.5% par achat","merc52",1,3
"Bien et Bio","Cashback Bien et Bio",467,"http://tracking.publicidees.com/clic.php?promoid=7496&progid=467&partid=29897&cb={userid}","4%","4% par achat","merc53",1,4
"Speedy","Cashback Speedy",1770,"http://tracking.publicidees.com/clic.php?promoid=43047&progid=1770&partid=29897&cb={userid}","3%","3% par achat","merc54",1,3
"GiFi","Cashback GiFi",2221,"http://tracking.publicidees.com/clic.php?promoid=59063&progid=2221&partid=29897&cb={userid}","3%","3% par achat","merc55",1,3
"Wineandco","Cashback Wineandco",390,"http://tracking.publicidees.com/clic.php?promoid=5732&progid=390&partid=29897&cb={userid}","Jusqu'à 4.5%","4.5% sur Vente Classique
1.5% sur Vente Primeur","merc56",1,5
"Planet-cards","Cashback Planet-cards",152,"http://tracking.publicidees.com/clic.php?promoid=47832&progid=152&partid=29897&cb={userid}","6%","6% par achat","merc57",1,6
"B-Europe (SNCB)","Cashback B-Europe (SNCB)",1968,"http://tracking.publicidees.com/clic.php?promoid=50327&progid=1968&partid=29897&cb={userid}","2.25%","2.25% par achat","merc58",1,2
"Vacances Transat","Cashback Vacances Transat",1039,"http://tracking.publicidees.com/clic.php?promoid=22739&progid=1039&partid=29897&cb={userid}","Jusqu'à 15,00€","5,00 € par achat (Vol)
1,50 %  par achat (Motoneige)
15,00 €  par achat (Croisière)
1,50 %  par achat (Séjour,Circuit )
7,50 €  par PréRéservation","merc59",0,15
"XL.com","Cashback XL.com",1394,"http://tracking.publicidees.com/clic.php?promoid=33692&progid=1394&partid=29897&cb={userid}","Jusqu'à 5,00€","5,00 € par achat (Vol-Long-Courrier)
3,50 €  par achat (Vol petit-moyen courrier)
3,00 %  par achat (Séjour )","merc60",0,5
"NRJ Mobile","Cashback NRJ Mobile",1731,"http://tracking.publicidees.com/clic.php?promoid=41612&progid=1731&partid=29897&cb={userid}","Jusqu'à 22,50€","1,50 €  par achat (Prépayé SIM / Pack )    
7,50 €  par achat (Forfait Wiki - Sans Mobile Sans Eng)    
1,00 €  par achat (Forfait bloqué / SIM)    
1,50 €  par achat (Slim et Allocataires RSA Pack / Sim)    
12,50 € par achat (Forfait bloqué BeLive V2 pack, Forfait bloqué BeLive BlackBerry)    
15,00 € par achat (Ultimate Pack forfait 1h - 3h - 5h )    
22,50 € par achat (SIM forfait Ultimate light,Forfait Ultimate 50H )    
20,00 €  par achat (Ultimate Smartphone Pack, Sim Ultimate Smartphone, Belive30mn_sansmob,Belive30mn_avecmob)
17,50 € par achat (Ultimate Illimité pack)","merc61",0,22
"Brandalley","Cashback Brandalley",370,"http://tracking.publicidees.com/clic.php?promoid=7497&progid=370&partid=29897&cb={userid}","Jusqu'à 4%","4% par achat( Nouveau client ) / 2% par achat ( Ancien client)","merc62",1,4
"Club des Créateurs de Beauté","Cashback Club des Créateurs de Beauté",1879,"http://tracking.publicidees.com/clic.php?promoid=45065&progid=1879&partid=29897&cb={userid}","6.00%","6% par achat(ancien client )
6% + 7,50€ par achat (nouveau client)","merc63",1,6
"eDreams","Cashback eDreams",1811,"http://tracking.publicidees.com/clic.php?promoid=45592&progid=1811&partid=29897&cb={userid}","1.50%","1,50% par achat l'hotel
3,50 €  par achat vol","merc64",1,1
"Francetests","Cashback Francetests",149,"http://tracking.publicidees.com/clic.php?promoid=31729&progid=149&partid=29897&cb={userid}","1,00€","1,00€ par achat","merc65",0,1
"Telemarket","Cashback Telemarket",2023,"http://tracking.publicidees.com/clic.php?promoid=51994&progid=2023&partid=29897&cb={userid}","Jusqu'à 10,00€","10,00 € par achat (Nouveau client)
0,50 € par achat (Ancien client)","merc66",0,10
"Weight Watchers","Cashback Weight Watchers",1432,"http://tracking.publicidees.com/clic.php?promoid=56743&progid=1432&partid=29897&cb={userid}","Jusqu'à 10,00€","6,00 € par achat WWO
10,00 € par achat Pass Lib","merc67",0,10
"Direct Assurance Santé","Cashback Direct Assurance Santé",2144,"http://tracking.publicidees.com/clic.php?promoid=54742&progid=2144&partid=29897&cb={userid}","11,00€","11,00€ par souscription Sante","merc68",0,11
"Dr. Pierre Ricaud","Cashback  Dr. Pierre Ricaud",351,"http://tracking.publicidees.com/clic.php?promoid=5018&progid=351&partid=29897&cb={userid}","Jusqu'à 5,00€","5,00 € par achat (Nouveau client)
2,50 € par achat (Ancien client)","merc69",0,5
