Chemin de table,Cashback Chemin de table,17107,http://action.metaffiliation.com/suivi.php?mclic=S442D344DAA111&argsite={userid},2.5%,"2,5% par achat",merc71,1,2.5
Chemisenet,Cashback Chemisenet,22465,http://action.metaffiliation.com/suivi.php?mclic=S457C144DAA141&argsite={userid},3%,3%  par achat,merc72,1,3
Chemise web France,Cashback Chemise web France,28595,http://action.metaffiliation.com/suivi.php?mclic=S46FB344DAA131&argsite={userid},3.5%,"3,5% par achat",merc73,1,3.5
Chic Dressing/Fruit rouge,Cashback Chic Dressing/Fruit rouge,26249,http://action.metaffiliation.com/suivi.php?mclic=S4668944DAA141&argsite={userid},4.5%,"4,5% par achat",merc74,1,4.5
Cigareless,Cashback Cigareless,27781,http://action.metaffiliation.com/suivi.php?mclic=S46C8544DAA141&argsite={userid},7.5%,7.5% par achat,merc76,1,7.5
Cmonpremier,Cashback Cmonpremier,30005,http://action.metaffiliation.com/suivi.php?mclic=S4753544DAA141&argsite={userid},2.5%,"2,5% par achat",merc78,1,2.5
Coffre fort Plus,Cashback Coffre fort Plus,29961,http://action.metaffiliation.com/suivi.php?mclic=S4750944DAA111&argsite={userid},2.5%,"2,5% par achat",merc79,1,2.5
ComBoutique ,Cashback ComBoutique ,345,http://action.metaffiliation.com/suivi.php?mclic=S315944DAA112&argsite={userid},12.5%,12.5% par achat,merc80,1,12.5
Comptoir de Famille,Cashback Comptoir de Famille,22469,http://action.metaffiliation.com/suivi.php?mclic=S457C544DAA131&argsite={userid},4%,4%  par achat,merc81,1,4
Coudre et broder,Cashback Coudre et broder,1009,http://action.metaffiliation.com/suivi.php?mclic=S33F144DAA111&argsite={userid},1.75%,1.75% par achat,merc83,1,1.75
Couette & nature,Cashback Couette & nature,29195,http://action.metaffiliation.com/suivi.php?mclic=S4720B44DAA142&argsite={userid},4%,4% par achat,merc84,1,4
creavea,Cashback creavea,27429,http://action.metaffiliation.com/suivi.php?mclic=S46B2544DAA131&argsite={userid},3.5%,"3,5% par achat",merc85,1,3.5
C’tendance,Cashback C’tendance,18767,http://action.metaffiliation.com/suivi.php?mclic=S4494F44DAA113&argsite={userid},4.5%,"4,5% par achat",merc87,1,4.5
Damart,Cashback Damart,3527,http://action.metaffiliation.com/suivi.php?mclic=S3DC744DAA121&argsite={userid},2.5%,"2,5% par achat",merc89,1,2.5
DC Shoes,Cashback DC Shoes,18429,http://action.metaffiliation.com/suivi.php?mclic=S447FD44DAA141&argsite={userid},3.25%,"3,25% par achat",merc90,1,3.25
DDP,Cashback DDP,18049,http://action.metaffiliation.com/suivi.php?mclic=S4468144DAA111&argsite={userid},4%,4% par achat,merc91,1,4
Deal LX – FR,Cashback Deal LX – FR,26937,http://action.metaffiliation.com/suivi.php?mclic=S4693944DAA14&argsite={userid},4%,4% par achat,merc92,1,4
Dealopro,Cashback Dealopro,11611,http://action.metaffiliation.com/suivi.php?mclic=S42D5B44DAA111&argsite={userid},1.9%,"1,9% par achat",merc93,1,1.9
Decoration-Stickers,Cashback Decoration-Stickers,9619,http://action.metaffiliation.com/suivi.php?mclic=S4259344DAA111&argsite={userid},4%,4% par achat,merc94,1,4
Decovente,Cashback Decovente,3079,http://action.metaffiliation.com/suivi.php?mclic=S3C0744DAA111&argsite={userid},2%,2% par achat,merc95,1,2
Def Shop,Cashback Def Shop,25605,http://action.metaffiliation.com/suivi.php?mclic=S4640544DAA154&argsite={userid},5.5%,"5,5% par achat",merc96,1,5.5
Deguisement et fete,Cashback Deguisement et fete,26197,http://action.metaffiliation.com/suivi.php?mclic=S4665544DAA151&argsite={userid},3.5%,"3,5% par achat",merc97,1,3.5
Destock meubles,Cashback Destock meubles,234,http://action.metaffiliation.com/suivi.php?mclic=S2EA44DAA111&argsite={userid},1.5%,"1,5% par achat",merc98,1,1.5
DIABOLEO,Cashback DIABOLEO,5016,http://action.metaffiliation.com/suivi.php?mclic=S4139844DAA151&argsite={userid},1%,1% par achat,merc100,1,1
Didactibook,Cashback Didactibook,26733,http://action.metaffiliation.com/suivi.php?mclic=S4686D44DAA141&argsite={userid},3.5%,3.5% par achat,merc102,1,3.5
Diet boutique,Cashback Diet boutique,177,http://action.metaffiliation.com/suivi.php?mclic=S2B144DAA1A1&argsite={userid},7%,7% par achat,merc103,1,7
Dim.fr,Cashback Dim.fr,27787,http://action.metaffiliation.com/suivi.php?mclic=S46C8B44DAA131&argsite={userid},3%,3% par achat,merc104,1,3
Dimipro,Cashback Dimipro,15843,http://action.metaffiliation.com/suivi.php?mclic=S463BD44DAA141&argsite={userid},Jusqu'a 1.5%,"1,5% :gros/petit électroménager, art de table, maison  et 1% :tv-vidéo; photo caméscope; multimédia; son-auto",merc105,1,1.5
Direct-optic,Cashback Direct-optic,26049,http://action.metaffiliation.com/suivi.php?mclic=S465C144DAA151&argsite={userid},4%,4% par achat,merc106,1,4
Discount comix,Cashback Discount comix,476,http://action.metaffiliation.com/suivi.php?mclic=S31DC44DAA141&argsite={userid},2.5%,"2,5% par achat",merc107,1,2.5
Discount Manga,Cashback Discount Manga,427,http://action.metaffiliation.com/suivi.php?mclic=S31AB44DAA121&argsite={userid},2.5%,"2,5% par achat",merc108,1,2.5
Discoverydream FR,Cashback Discoverydream FR,29821,http://action.metaffiliation.com/suivi.php?mclic=S4754944DAA131&argsite={userid},5%,5% par achat,merc109,1,5
Djummer FR,Cashback Djummer FR,25399,http://action.metaffiliation.com/suivi.php?mclic=S4633744DAA1324&argsite={userid},1€,1€ par achat,merc110,0,1
Dorcel Store,Cashback Dorcel Store,27081,http://action.metaffiliation.com/suivi.php?mclic=S469C944DAA162&argsite={userid},10%,10% par achat,merc111,1,10
Doreva,Cashback Doreva,21845,http://action.metaffiliation.com/suivi.php?mclic=S4555544DAA141&argsite={userid},4.5%,"4,5% par achat",merc112,1,4.5
Easy-Hébergement,Cashback Easy-Hébergement,25285,http://action.metaffiliation.com/suivi.php?mclic=S462C544DAA21B1&argsite={userid},2.5%,"2,5% par achat",merc114,1,2.5
Ebuyclub Megadeal,Cashback Ebuyclub Megadeal,21893,http://action.metaffiliation.com/suivi.php?mclic=S4558544DAA114&argsite={userid},3%,3% par achat,merc115,1,3
Ecologie shop,Cashback Ecologie shop,7247,http://action.metaffiliation.com/suivi.php?mclic=S41C4F44DAA111&argsite={userid},4%,4% par achat,merc116,1,4
eDarling,Cashback eDarling,11975,http://action.metaffiliation.com/suivi.php?mclic=S42EC744DAA165&argsite={userid},12.5%,"12,5% par achat",merc117,1,12.5
Edelices.com,Cashback Edelices.com,28119,http://action.metaffiliation.com/suivi.php?mclic=S46DD744DAA131&argsite={userid},3.5%,"3,5% par achat",merc118,1,3.5
Eidershop,Cashback Eidershop,5764,http://action.metaffiliation.com/suivi.php?mclic=S4168444DAA111&argsite={userid},7%,7% par achat,merc119,1,7
Ekosport,Cashback Ekosport,25953,http://action.metaffiliation.com/suivi.php?mclic=S4656144DAA151&argsite={userid},3.5%,"3,5% par achat",merc120,1,3.5
Electrofitness,Cashback Electrofitness,868,http://action.metaffiliation.com/suivi.php?mclic=S336444DAA112&argsite={userid},1%,1%par achat,merc121,1,1
Electromust,Cashback Electromust,2372,http://action.metaffiliation.com/suivi.php?mclic=S394444DAA111&argsite={userid},7.5%,"7,5% par achat",merc122,1,7.5
