"myToys.fr","Cashback myToys.fr",6989,"http://ad.zanox.com/ppc/?23046575C497061172T&zpar0=[[{userid}]]","3,00%","3% par achat","merc33",1,3
"Monoprix","Cashback Monoprix",4859,"http://ad.zanox.com/ppc/?23046494C1339999977T&zpar0=[[{userid}]]","5%","5% par achat de textile
6€ par achat alimentaire (nouveau client)
Pas de cashback sur les commandes alimentaires suivantes
","merc34",1,5
"Toys R us","Cashback Toys R us",7427,"http://ad.zanox.com/ppc/?23046483C2050968175T&zpar0=[[{userid}]]","2,5% ","2,5% par achat","merc35",1,2
"Gemo","Cashback Gemo",7911,"http://ad.zanox.com/ppc/?23047494C2110027285T&zpar0=[[{userid}]]","2,5%","2.5% par achat","merc36",1,2
"Aquarelle Fleurs","Cashback Aquarelle Fleurs",2168,"http://ad.zanox.com/ppc/?23047193C1390024171T&zpar0=[[{userid}]]","1.5€","1.5€ par achat","merc37",0,1
"Wimdu","Cashback Wimdu",10109,"http://ad.zanox.com/ppc/?23048042C29057266T&zpar0=[[{userid}]]","3,00%","3% par achat","merc38",1,3
"Foto.com","Cashback Foto.com",4273,"http://ad.zanox.com/ppc/?23048186C1243921331T&zpar0=[[{userid}]]","12,5%","12.5% par achat","merc39",1,12
"La Poste Mobile","Cashback La Poste Mobile",2883,"http://ad.zanox.com/ppc/?23049912C303759683T&zpar0=[[{userid}]]","Jusqu'à 12,5€","12.5€ sur La Poste - Forfait avec engagement FAM
1.8€ sur La Poste - Carte Prépayée
7.5€ sur La Poste - Forfait sans engagement FSE
5€ sur La Poste - Forfait Bloqué sans engagement
10€ sur La Poste - Forfait Bloqué avec engagement","merc40",0,12
"SomeWhere","Cashback SomeWhere",3140,"http://ad.zanox.com/ppc/?23050034C661666607T&zpar0=[[{userid}]]","1,5%","1.5% par achat","merc41",1,1
"Luminaire","Cashback Luminaire",11408,"http://ad.zanox.com/ppc/?23050116C1575793987T&zpar0=[[{userid}]]","4,00%","4% par achat","merc42",1,4
"Pimkie","Cashback Pimkie",2618,"http://ad.zanox.com/ppc/?23049874C328306739T&zpar0=[[{userid}]]","3,5%","3.5% par achat","merc43",1,3
"Crocs","Cashback Crocs",6570,"http://ad.zanox.com/ppc/?23049833C1702312757T&zpar0=[[{userid}]]","3,00%","3% par achat","merc44",1,3
"Imenager","Cashback Imenager",3103,"http://ad.zanox.com/ppc/?23049721C1942143409T&zpar0=[[{userid}]]","Jusqu'à 4%","4% sur Espace Cuisine
1.5% sur Gros électroménager
2.5% sur Petit électroménager","merc45",1,4
"Volotea","Cashback Volotea",11977,"http://ad.zanox.com/ppc/?23047839C1248409141T&zpar0=[[{userid}]]","1,5%","1.5% par achat","merc46",1,1
"Guess","Cashback Guess",6206,"http://ad.zanox.com/ppc/?23050396C2037448192T&zpar0=[[{userid}]]","3,75%","3.75% par achat","merc47",1,3
"123pneus.fr","Cashback 123pneus.fr",1460,"http://ad.zanox.com/ppc/?23050088C137898033T&zpar0=[[{userid}]]","1,75%","1.75% par achat","merc48",1,1
"Orange Jeux","Cashback Orange Jeux",10249,"http://ad.zanox.com/ppc/?23050304C1279339599T&zpar0=[[{userid}]]","Jusqu'à 12,5%","12,5% sur jeux-console
5% sur Jeux Casual
6€ sur l'Abonnement","merc49",1,12
"FNAC SPECTACLES","Cashback FNAC SPECTACLES",3467,"http://ad.zanox.com/ppc/?23050201C1726966006T&zpar0=[[{userid}]]","0.2€","0.2€ par achat","merc50",0,0
"Voyages Auchan","Cashback Voyages Auchan",2813,"http://ad.zanox.com/ppc/?23050152C1757280477T&zpar0=[[{userid}]]","Jusqu'à 30€","30€ sur Circuits
15€ sur Séjours
5€ sur Locations","merc51",0,30
"Urban Outfitters","Cashback Urban Outfitters",9748,"http://ad.zanox.com/ppc/?23047400C1767883171T&zpar0=[[{userid}]]","3,00%","3% par achat","merc52",1,3
"Service Photo Orange","Cashback Service Photo Orange",5189,"http://ad.zanox.com/ppc/?23050345C925510644T&zpar0=[[{userid}]]","2.5€","2.5€ par achat","merc53",0,2
"Outiror","Cashback Outiror",5906,"http://ad.zanox.com/ppc/?23050452C1213918749T&zpar0=[[{userid}]]","3,00%","3% par achat","merc54",1,3
"Get The Label","Cashback Get The Label",9775,"http://ad.zanox.com/ppc/?23051097C894183749T&zpar0=[[{userid}]]","3,00%","3% par achat","merc55",1,3
"FRANCE BILLET","Cashback FRANCE BILLET",3468,"http://ad.zanox.com/ppc/?23050798C1506761092T&zpar0=[[{userid}]]","0.2€","0.2€ par achat","merc56",0,0
"Babywalz","Cashback Babywalz",2625,"http://ad.zanox.com/ppc/?23050957C1469504400T&zpar0=[[{userid}]]","3,00%","3% par achat","merc57",1,3
